Submission Date,status,Name,Game version,Level,Score,Gold,Screenshot/Video,Date,Number of mutators,Game version 2,Used weapon,Mutators,Used perks,Submission ID
2023-08-25 1:31:03,a,LT3,Early access,Frostsee,36083,280,https://postimg.cc/5Hrr3T5k,25/08/2023,6,1.16,Spear,,,5687290631329696811
2023-08-25 6:16:28,o,Anael,Early access,Frostsee,48544,378,https://www.youtube.com/watch?v=3Lb-i3MQYhc,25/08/2023,7,1.16,Spear,"Turtle god
Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death",,5687461881714513426
2023-08-25 22:12:10,o,remolx,Early access,Frostsee,43413,263,https://i.postimg.cc/VNV3jvzw/fs-bow-7mut.jpg,25/08/2023,7,1.16,Bow,"Turtle god
Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death",,5688035301611517527
2023-08-26 16:58:10,a,LT3,Early access,Nordfels,45650,264,https://pasteboard.co/YQ5ucQzOYLVi.png,26/08/2023,7,1.16,Spear,"Turtle god
Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death",,5688710906716079673
2023-08-26 19:19:00,a,remolx,Early access,Frostsee,44364,288,https://i.postimg.cc/G2rrHkT4/fs-bow-7-muts.jpg,26/08/2023,7,1.16,Bow,"Turtle god
Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death",,5688795401619589200
2023-08-26 22:28:49,a,knifey,Early access,Durststein,38055,518,https://imgur.com/2FHsgPS,26/08/2023,6,1.6,Spear,,,5688909293211765466
2023-08-27 21:47:55,a,8lackt0n,Early access,Neuland,5150,61,https://paste.pics/c8c26a99369e7bf0d84690fd2c23aa1e,27/08/2023,0,1.16,Bow,None,,5689748750171184542
2023-09-03 12:53:58,o,LTU Adas,Early access,Nordfels,48345,344,https://www.youtube.com/watch?v=O1ZBTEg9xl4,03/09/2023,7,1.16,Spear,"Turtle god
Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death","Royal mint, War hoirse, Heavy armour",5695476388129710602
2023-09-08 13:57:20,o,yankee,Early access,Nordfels,34500,30,https://i.imgur.com/HmYNXFV.png,08/09/2023,6,1.16,Spear,,,5699834406144406091
2023-09-08 13:58:17,o,MaXD,Early access,Nordfels,28650,315,https://cdn.discordapp.com/attachments/1117853463045476382/1149672336946122792/image.png,08/09/2023,5,1.1,Spear,,,5699834975215526455
2023-09-08 14:01:54,a,Anael,Early access,Frostsee,49554,395,https://www.youtube.com/watch?v=ldZ2M80JfWA,08/09/2023,7,1.16,Spear,"Turtle god
Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death",,5699837143582299650
2023-09-08 15:42:25,o,MaXD,Early access,Nordfels,39812,323,https://media.discordapp.net/attachments/1117853463045476382/1149687775906500718/image.png?width=1202&height=676,08/09/2023,6,1.16,Bow,,,5699897455219321688
2023-09-08 18:20:51,o,yankee,Early access,Nordfels,45818,268,https://i.imgur.com/CIrMkDW.png,08/09/2023,7,1.16,Spear,"Turtle god
Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death",,5699992516148178181
2023-09-08 20:06:13,a,yankee,Early access,Neuland,5126,65,https://i.imgur.com/bnjVec9.png,08/09/2023,0,1.16,Bow,None,,5700055736143345998
2023-09-09 18:35:37,a,yankee,Early access,Frostsee,38540,197,https://i.imgur.com/a9dr7pO.png,09/09/2023,7,1.16,Spear,"Turtle god
Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death",,5700865376147432028
2023-09-10 22:11:56,a,yankee,Early access,Nordfels,47516,313,https://i.imgur.com/uEt2BiX.png,10/09/2023,7,1.16,Spear,"Turtle god
Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death",,5701859166141559068
2023-09-10 22:32:48,a,LTU Adas,Early access,Frostsee,46828,351,https://youtu.be/oQcP00ObbTI?si=R7JFkvLrHy5ITk56,10/09/2023,7,1.16,Spear,"Turtle god
Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death",,5701871685719500344
2023-09-11 15:03:13,o,MaXD,Early access,Nordfels,46325,289,https://media.discordapp.net/attachments/1117853463045476382/1150776984197136435/image.png?width=1202&height=676,11/09/2023,7,1.16,Spear,"Turtle god
Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death",,5702465932329759165
